form,depth_ft,depth_m,por,b_den,ker,vp0,vp90,vs0,vs90,eps,gam,del
Bakken,7570,2307,1.97,2.09,0.423,3.13,3.94,1.88,2.3,0.29,0.25,
Bakken,8630,2630,0.7,1.99,0.5,,3.93,,2.31,,,
Bakken,8634,2632,0.65,2.06,0.409,3.02,4.14,1.76,2.5,0.44,0.51,0.03
Bakken,9831,2996,0.7,2.21,0.272,3.41,4.16,2.07,2.51,0.24,0.24,0.12
Bakken,10164,3098,0.68,2.22,0.323,3.38,4.19,2.12,2.57,0.27,0.23,0.04
Bakken,10487,3196,0.7,2.18,0.404,3.18,4.2,1.93,2.51,0.37,0.35,
Bakken,10495,3199,0.7,2.3,0.271,3.62,4.36,2.22,2.63,0.23,0.2,
Bakken,10575,3223,0.75,2.49,0.209,3.36,4.48,2.06,2.55,0.39,0.27,
Bakken,10732,3271,0.8,2.43,0.278,,4.61,,2.71,,,
Bakken,10733,3271,0.8,2.33,0.261,3.46,4.49,2,2.62,0.39,0.27,0.08
Bakken,10734,3272,0.8,2.34,0.191,3.51,4.42,2.03,2.75,0.29,0.42,0.18
Bakken,10931,3332,0.97,2.35,0.239,3.29,4.67,1.86,2.74,0.51,0.59,0.3
Bakken,11230,3423,1.04,2.55,0.122,4.21,4.97,2.52,2.91,0.2,0.17,0.02
Bakken,11246,3428,1.08,2.38,0.251,3.72,4.36,2.25,2.59,0.19,0.16,0.03
Bakken,11280,3438,1.12,2.48,0.158,3.85,4.76,2.4,2.79,0.26,0.18,0.13
Bazhenov,12415,3784,2.26,2.44,0.182,3.34,4.45,2.18,2.8,0.39,0.32,0.14
Bazhenov,12425,3787,4.11,2.32,0.207,3.11,4.46,1.97,2.75,0.53,0.48,-0.03
Bazhenov,12428,3788,4.12,2.34,0.168,3.28,4.41,2.1,2.76,0.4,0.36,0.23
Bazhenov,12507,3812,4.2,2.5,0.066,3.3,4.84,2.3,3.07,0.58,0.39,0.84
Bazhenov,12539,3822,2.26,2.57,0.087,3.82,4.9,2.56,3.08,0.32,0.22,0.24
Bazhenov,12546,3824,3.19,2.43,0.137,3.41,4.79,2.28,2.99,0.49,0.36,0.16
Bazhenov,12579,3834,1.99,2.49,0.085,3.6,4.84,2.48,3.08,0.4,0.27,0.24
Bazhenov,12605,3842,2.59,2.46,0.105,3.69,4.78,2.53,3.08,0.34,0.24,0.22
Monterey,0,0,16.6,2.15,0.02,3.62,4.29,2.27,2.44,0.2,0.08,-0.06
Monterey,0,0,28.8,1.56,0.155,2.58,2.9,1.69,1.78,0.13,0.06,0
Monterey,0,0,30.9,1.44,0.28,2.4,2.67,1.51,1.62,0.12,0.08,0.12
Monterey,0,0,29.6,1.56,0.048,2.68,3.22,1.79,2.05,0.22,0.16,0.05
Monterey,0,0,10.3,2.23,0.03,4.44,4.67,2.66,2.95,0.05,0.11,0.02
Monterey,0,0,29.3,1.66,0.087,2.48,2.9,1.69,1.88,0.18,0.12,0.24
Monterey,0,0,5.9,2.56,0.051,4.52,5.09,2.86,2.96,0.13,0.04,0.06
Monterey,0,0,5,2.6,0.044,4.54,5.01,2.77,3.07,0.11,0.12,0.19
Monterey,4560,1390,11.4,1.92,0.058,3.91,4.23,2.57,2.61,0.09,0.02,
Monterey,4571,1393,10,1.93,0.055,3.76,3.93,2.49,2.63,0.05,0.04,0.02
Monterey,4590,1399,3,2.64,0.006,6.29,6.97,3.61,3.78,,,
Monterey,4642,1415,16.4,1.99,0.202,3.45,3.83,2.12,2.33,0.12,0.1,0
Monterey,4685,1428,21,1.86,0.19,2.68,3.28,1.72,1.94,0.25,0.14,
Monterey,4696,1431,21,1.6,0.363,2.56,3.36,1.58,2.1,0.36,0.39,0.11
Monterey,4771,1454,19,2.02,0.147,3.01,3.64,1.9,2.14,0.23,0.13,0.06
Monterey,4798,1462,18,1.93,0.224,2.85,3.37,1.92,2.04,0.2,0.06,
Monterey,5478,1670,4.3,2.14,0.182,3.7,4.12,2.43,2.65,0.12,0.1,-0.01
Monterey,5553,1693,11,2.4,0.016,5.03,5.46,2.99,3.38,0.09,0.14,
Niobrara,3620,1103,6.4,2.54,0.035,,,,,,,
Niobrara,3679,1121,3.2,2.62,0.032,4.55,5.39,2.76,3.17,0.2,0.16,-0.05
Niobrara,3803,1159,4.6,2.57,0.053,4.31,5.02,2.5,2.94,0.18,0.19,0.04
Niobrara,3915,1193,8.1,2.57,0.023,,,,,,,
Niobrara,3975,1212,8.4,2.59,0.028,,,,,,,
Niobrara,7376,2248,5.7,2.5,0.057,4.06,4.83,2.36,2.91,0.21,0.26,0.02
Niobrara,7451,2271,6.7,2.57,0.047,,,,,,,
Niobrara,7622,2323,7,2.6,0.045,4.23,4.96,2.43,2.9,0.19,0.21,0
Niobrara,7709,2350,5.8,2.55,0.014,4.4,5.17,2.56,3.02,0.19,0.19,-0.1
Niobrara,7762,2366,6,2.6,0.028,4.51,4.97,2.68,2.96,0.11,0.11,0.18
North Sea,6926,2111,13,2.06,0.222,2.7,3.4,,,,,
North Sea,6998,2133,9,2.26,0.057,3.26,3.89,2.1,2.37,0.21,0.14,
North Sea,9026,2751,7,2.29,0.1,,,,,,,
North Sea,14596,4449,1.2,2.51,0.135,3.86,4.7,2.22,2.66,0.24,0.22,0.02
North Sea,14476,4412,2.9,2.42,0.114,3.2,4.02,2,2.38,0.29,0.21,0.19
Japan,3537,1078,15.1,1.93,0.049,2.95,3.38,1.99,2.18,0.17,0.14,0.09
Lockatong,1600,488,0.5,2.54,0.001,5.12,5.78,2.96,3.32,0.14,0.13,
Lockatong,1756,535,0.3,2.63,0.019,5.44,5.92,3.07,3.42,,,
Lockatong,1782,543,0.3,2.73,0.018,5.35,6.02,2.9,3.32,0.13,0.16,0
Lockatong,1800,549,0.3,2.69,0.082,5.69,6.19,3.28,3.4,0.09,0.04,-0.04
Lockatong,1815,553,0.3,2.63,0.023,4.79,5.49,2.76,3.28,0.16,0.21,-0.04
Lockatong,1841,561,0.3,2.6,0.001,5.88,6.39,3.19,3.39,0.09,0.06,-0.03
Lockatong,1856,566,0.3,2.66,0.053,5.66,6.26,3.23,3.45,,,
Woodford,6431,1960,0.7,2.51,0.071,5.2,5.2,3.33,3.36,0,0.01,
Woodford,7068,2154,0.8,2.52,0.207,3.76,4.9,2.25,3.07,0.35,0.43,0.11
Woodford,8598,2621,0.6,2.4,0.15,,4.91,2.39,3.02,,0.3,
Woodford,9456,2882,0.8,2.37,0.281,3.42,,2,,,,
Woodford,11714,3570,0.7,2.4,0.198,3.72,,2.19,,,,
Woodford,14250,4343,0.8,2.58,0.247,,5.15,2.41,2.98,,0.26,
